Date,USD (PM)
9/12/16,1324.5993557366182
9/13/16,1323.6490322609477
9/14/16,1321.7493638729607
9/15/16,1310.8000069878565
9/16/16,1308.3493830411674
9/19/16,1314.8496526863357
9/20/16,1313.799107553677
9/21/16,1326.100979127165
9/22/16,1339.0991578246242
9/23/16,1338.6501075599338
9/26/16,1340.500320369904
9/27/16,1326.999676440582
9/28/16,1322.4991421191403
9/29/16,1318.0999207205302
9/30/16,1322.5006283495698
10/3/16,1313.2993585534373
10/4/16,1283.2991563831188
10/5/16,1269.4002603005254
10/6/16,1254.500781737871
10/7/16,1258.7500721742424
10/10/16,1259.500156605856
10/11/16,1253.450667245385
10/12/16,1256.49942562062
10/13/16,1261.0508967855458
10/14/16,1251.7491379678352
10/17/16,1254.8007472180466
10/18/16,1258.2006097818382
10/19/16,1269.0493428479876
10/20/16,1271.6505705973427
10/21/16,1266.0503029909485
10/24/16,1265.5508486265232
10/25/16,1269.4001166174041
10/26/16,1270.5009088316351
10/27/16,1266.2495559235892
10/28/16,1273.0003524053172
10/31/16,1272.0009227645994
11/1/16,1288.4496835304626
11/2/16,1303.7497562275937
11/3/16,1300.9991125652066
11/4/16,1302.8009490845432
11/7/16,1283.0507613405857
11/8/16,1282.3504151768982
11/9/16,1281.3999332005133
11/10/16,1267.4999425676153
11/11/16,1236.4497394267346
11/14/16,1213.600716797634
11/15/16,1226.950458715562
11/16/16,1229.1992381386171
11/17/16,1226.749311955907
11/18/16,1211.0008629360802
11/21/16,1214.2497345226034
11/22/16,1212.2509756431384
11/23/16,1185.349697194495
11/24/16,1186.0997788183586
11/25/16,1187.699739755125
11/28/16,1187.0000262526949
11/29/16,1186.5508461939996
11/30/16,1178.1009402795305
12/1/16,1161.8493573934022
12/2/16,1173.5001651341254
12/5/16,1162.2004724373433
12/6/16,1172.4990888568093
12/7/16,1177.6493519527562
12/8/16,1171.0496526292104
12/9/16,1163.6005870512872
12/12/16,1156.1003798717766
12/13/16,1158.5490015530017
12/14/16,1162.2502893670933
12/15/16,1126.9500049876633
12/16/16,1131.6006031433915
12/19/16,1136.2508983086354
12/20/16,1125.7004120463178
12/21/16,1133.6501893644852
12/22/16,1131.3504078081162
12/23/16,
12/28/16,1134.5995195765372
12/29/16,1145.9000405872305
12/30/16,
1/3/17,1150.999701866833
1/4/17,1164.2493798592982
1/5/17,1176.7003562452328
1/6/17,1175.8503009445994
1/9/17,1178.5007039008588
1/10/17,1189.4998587793034
1/11/17,1178.5492472797432
1/12/17,1205.0502626088976
1/13/17,1190.3505103693817
1/16/17,1202.9998185975003
1/17/17,1216.0491970647122
1/18/17,1214.749542997438
1/19/17,1196.0492917582833
1/20/17,1200.5509637429802
1/23/17,1212.8493193024904
1/24/17,1216.7998843907867
1/25/17,1195.0000220490235
1/26/17,1189.7008369752668
1/27/17,1184.8506144186729
1/30/17,1192.799146416561
1/31/17,1212.799290817608
2/1/17,1203.6490423312196
2/2/17,1221.9508049433193
2/3/17,1215.2006346414687
2/6/17,1226.7503782413917
2/7/17,1230.999835569368
2/8/17,1242.1001965674568
2/9/17,1236.8008425397772
2/10/17,1228.299811877287
2/13/17,1222.2492454760993
2/14/17,1230.7493680707544
2/15/17,1224.3995944187368
2/16/17,1240.549883149189
2/17/17,1241.9509482433566
2/20/17,1237.3005037147175
2/21/17,1233.1993614945256
2/22/17,1236.6494179662034
2/23/17,1247.9003386273814
2/24/17,1253.650027349295
2/27/17,1257.199208855685
2/28/17,1255.6009413414681
3/1/17,1240.3991184980887
3/2/17,1238.1004708373232
3/3/17,1226.5006409969453
3/6/17,1230.950130780166
3/7/17,1216.6503245850834
3/8/17,1209.1994268763208
3/9/17,1206.5496854280193
3/10/17,1202.6494676162324
3/13/17,1204.2004056685055
3/14/17,1204.6006429423164
3/15/17,1198.799491233396
3/16/17,1229.3506276493754
3/17/17,1229.5998984201638
3/20/17,1232.3998222534824
3/21/17,1241.599765053925
3/22/17,1249.0493766099664
3/23/17,1247.4992733185156
3/24/17,1247.5004476836034
3/27/17,1257.5504081148072
3/28/17,1257.2506515544424
3/29/17,1251.1007599731117
3/30/17,1248.8003321063675
3/31/17,1244.8506569943788
4/3/17,1247.2497949153078
4/4/17,1257.65082901157
4/5/17,1245.7995019053956
4/6/17,1252.500880358483
4/7/17,1266.4503481985967
4/10/17,1250.050161187086
4/11/17,1252.899225826441
4/12/17,1274.300136666138
4/13/17,1284.1508716828027
4/18/17,1278.9494620438945
4/19/17,1279.050006494664
4/20/17,1282.1008661776873
4/21/17,1281.8501694000377
4/24/17,1269.3999616008002
4/25/17,1267.7990306162667
4/26/17,1261.8499299175244
4/27/17,1262.7991188260467
4/28/17,1266.4500422743042
5/2/17,1255.4509572752652
5/3/17,1250.3002130382056
5/4/17,1228.4502923142386
5/5/17,1228.0492259019725
5/8/17,1229.7992156547955
5/9/17,1220.4004664255897
5/10/17,1222.9496292063939
5/11/17,1223.1492811300475
5/12/17,1231.2496537101053
5/15/17,1233.299475561801
5/16/17,1234.2003348261794
5/17/17,1257.399006131895
5/18/17,1255.9009441993858
5/19/17,1252.0001713364209
5/22/17,1258.850949300299
5/23/17,1260.1994762964612
5/24/17,1252.5498023786733
5/25/17,1256.9507945839875
5/26/17,1265.0504669304055
5/30/17,1262.6996062497285
5/31/17,1266.199635041849
6/1/17,1264.8494408570439
6/2/17,1274.9501314647905
6/5/17,1279.9500228371003
6/6/17,1293.4991816765041
6/7/17,1290.9993192466247
6/8/17,1273.100368623106
6/9/17,1266.5507452669788
6/12/17,1266.399450494913
6/13/17,1262.000847742862
6/14/17,1275.5000088905952
6/15/17,1254.5501157739607
6/16/17,1255.3992171624507
6/19/17,1248.1507984724747
6/20/17,1242.2006980513947
6/21/17,1242.4990359517078
6/22/17,1250.800316747934
6/23/17,1255.699224550608
6/26/17,1245.2503559814477
6/27/17,1249.5497618488469
6/28/17,1248.0003512432784
6/29/17,1243.499560318616
6/30/17,1242.2491498587917
7/3/17,1229.2508429575437
7/4/17,1223.7500453338898
7/5/17,1220.299040724328
7/6/17,1224.90066844915
7/7/17,1215.6506815931166
7/10/17,1211.8990753914134
7/11/17,1211.049801486726
7/12/17,1218.8003674385434
7/13/17,1218.9008202359369
7/14/17,1230.29914686447
7/17/17,1234.100532489057
7/18/17,1240.7495928763635
7/19/17,1242.1504820822877
7/20/17,1238.6990569835307
7/21/17,1248.5507500415215
7/24/17,1255.5495482029446
7/25/17,1254.3996837371594
7/26/17,1248.1001666078498
7/27/17,1261.0995556214398
7/28/17,1264.9004924238843
7/31/17,1267.5507090764122
8/1/17,1270.9495677068069
8/2/17,1269.5998235485797
8/3/17,1268.1007254634683
8/4/17,1257.6990765011753
8/7/17,1258.0005367366778
8/8/17,1261.800916232057
8/9/17,1271.0493476592835
8/10/17,1284.4005965015442
8/11/17,1286.099767348071
8/14/17,1282.3008088467182
8/15/17,1270.2999662975835
8/16/17,1272.7509071585343
8/17/17,1285.149850695804
8/18/17,1295.7999097655688
8/21/17,1292.9007837482511
8/22/17,1284.199348101309
8/23/17,1286.64993229428
8/24/17,1289.0005925451567
8/25/17,1285.3009720426003
8/29/17,1318.650762221015
8/30/17,1308.5002381602244
8/31/17,1311.749034597384
9/1/17,1320.4002180325335
9/4/17,1333.0997680154283
9/5/17,1335.550435774284
9/6/17,1337.8492599345755
