parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[20, 70]",159.18,175.66%,-60.87%,2017-12-16 00:00:00,2019-03-26 00:00:00,2.89,1.581820775247328,74.58970481782359
"[20, 60]",140.35,168.81%,-60.42%,2017-12-16 00:00:00,2019-03-09 00:00:00,2.79,1.5508170172000615,74.58970481782359
"[30, 50]",140.48,168.86%,-61.68%,2017-12-16 00:00:00,2019-03-09 00:00:00,2.74,1.5507548969563885,74.58970481782359
"[10, 80]",128.47,164.09%,-62.31%,2017-12-16 00:00:00,2019-03-26 00:00:00,2.63,1.5168295986785467,74.58970481782359
"[10, 30]",114.67,158.16%,-61.34%,2017-12-16 00:00:00,2019-01-24 00:00:00,2.58,1.553477945312292,74.58970481782359
"[10, 90]",124.16,162.3%,-63.39%,2017-12-16 00:00:00,2019-03-29 00:00:00,2.56,1.5108561385831307,74.58970481782359
"[30, 40]",127.33,163.63%,-65.70%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.49,1.5322883811259844,74.58970481782359
"[10, 100]",115.71,158.63%,-64.14%,2017-12-16 00:00:00,2019-04-01 00:00:00,2.47,1.4899848301717566,74.58970481782359
"[20, 50]",109.89,155.97%,-63.23%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.47,1.498175346245255,74.58970481782359
"[20, 80]",115.34,158.46%,-64.48%,2017-12-16 00:00:00,2019-03-26 00:00:00,2.46,1.4930242988537823,74.58970481782359
"[10, 50]",103.75,153.04%,-63.16%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.42,1.5014065998089523,74.58970481782359
"[20, 90]",104.63,153.47%,-65.10%,2017-12-16 00:00:00,2019-04-01 00:00:00,2.36,1.4662956927356703,74.58970481782359
"[10, 60]",96.36,149.33%,-65.76%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.27,1.4739971241513856,74.58970481782359
"[30, 60]",79.39,139.85%,-64.32%,2017-12-16 00:00:00,2019-03-26 00:00:00,2.17,1.3749035940305354,74.58970481782359
"[10, 40]",78.82,139.51%,-65.30%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.14,1.4474015043036743,74.58970481782359
"[20, 40]",73.68,136.3%,-64.89%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.1,1.4084205053885366,74.58970481782359
"[20, 100]",72.94,135.83%,-64.84%,2017-12-16 00:00:00,2019-03-12 00:00:00,2.09,1.3753540836377085,74.58970481782359
"[10, 70]",79.35,139.83%,-67.97%,2017-12-16 00:00:00,2019-03-14 00:00:00,2.06,1.408885111257344,74.58970481782359
"[10, 20]",85.68,143.54%,-69.96%,2017-12-16 00:00:00,2019-02-15 00:00:00,2.05,1.4951538914157676,74.58970481782359
"[10, 110]",80.92,140.77%,-68.77%,2017-12-16 00:00:00,2019-03-12 00:00:00,2.05,1.403120688686824,74.58970481782359
"[20, 110]",71.7,135.02%,-66.28%,2017-12-16 00:00:00,2019-03-12 00:00:00,2.04,1.3684982951762745,74.58970481782359
"[40, 50]",72.9,135.8%,-66.74%,2017-12-16 00:00:00,2019-03-26 00:00:00,2.03,1.3523957959899169,74.58970481782359
"[20, 30]",81.4,141.06%,-70.01%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.01,1.444962787971392,74.58970481782359
"[30, 80]",67.93,132.5%,-65.82%,2019-06-27 00:00:00,2020-05-12 00:00:00,2.01,1.333163029334511,74.58970481782359
"[40, 60]",65.54,130.84%,-65.33%,2019-06-27 00:00:00,2020-05-12 00:00:00,2.0,1.3236008603798621,74.58970481782359
"[50, 70]",61.17,127.67%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.97,1.2954378398375612,74.58970481782359
"[30, 70]",62.47,128.63%,-65.56%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.96,1.31264912808857,74.58970481782359
"[40, 100]",58.48,125.64%,-65.13%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.93,1.2816789873583314,74.58970481782359
"[50, 60]",56.17,123.82%,-65.52%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.89,1.2738514329230335,74.58970481782359
"[40, 70]",57.25,124.68%,-66.20%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.88,1.2828999583132699,74.58970481782359
"[40, 90]",53.17,121.38%,-64.98%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.87,1.2601927882117303,74.58970481782359
"[10, 150]",66.3,131.36%,-71.30%,2017-12-16 00:00:00,2019-04-05 00:00:00,1.84,1.337815472524676,74.58970481782359
"[10, 120]",66.31,131.37%,-72.76%,2017-12-16 00:00:00,2019-03-12 00:00:00,1.81,1.3473029070980038,74.58970481782359
"[30, 160]",49.33,118.08%,-65.54%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.8,1.2281136402352855,74.58970481782359
"[40, 150]",52.13,120.51%,-67.36%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.79,1.2419013650021948,74.58970481782359
"[40, 120]",51.17,119.69%,-67.19%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.78,1.2400124542149515,74.58970481782359
"[50, 140]",51.68,120.12%,-67.51%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.78,1.2394689753215025,74.58970481782359
"[30, 170]",51.28,119.78%,-67.39%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.78,1.2362903294248433,74.58970481782359
"[40, 80]",49.45,118.18%,-66.78%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.77,1.2474052455106324,74.58970481782359
"[30, 110]",49.6,118.32%,-66.87%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.77,1.24590219275652,74.58970481782359
"[50, 80]",51.42,119.9%,-67.95%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.76,1.2518957644126603,74.58970481782359
"[60, 110]",49.21,117.98%,-66.85%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.76,1.2287553915018197,74.58970481782359
"[60, 80]",53.13,121.34%,-69.11%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.76,1.254630899556847,74.58970481782359
"[50, 90]",52.66,120.95%,-69.16%,2019-06-27 00:00:00,2020-05-12 00:00:00,1.75,1.2560644208351859,74.58970481782359
"[60, 120]",48.26,117.13%,-66.74%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.75,1.2237496758563633,74.58970481782359
"[70, 100]",46.48,115.5%,-66.24%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.74,1.2149026672788483,74.58970481782359
"[80, 90]",46.3,115.34%,-66.24%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.74,1.2139875620418257,74.58970481782359
"[40, 160]",48.34,117.2%,-67.18%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.74,1.2226644404235938,74.58970481782359
