parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[20, 110]",1.23,4.3%,-15.78%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.27,0.42219562600364563,1.2229322781824887
"[30, 40]",1.19,3.57%,-14.18%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.25,0.401588266244296,1.2229322781824887
"[20, 150]",1.21,3.89%,-17.62%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.22,0.3783456932256357,1.2229322781824887
"[20, 100]",1.17,3.26%,-16.05%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.2,0.33567147400962294,1.2229322781824887
"[20, 30]",1.13,2.52%,-12.97%,2020-08-06 00:00:00,2021-09-08 00:00:00,0.19,0.2894642959257459,1.2229322781824887
"[60, 110]",1.22,3.98%,-20.77%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.19,0.3919794208390433,1.2229322781824887
"[30, 70]",1.18,3.35%,-18.26%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.18,0.34336244937704324,1.2229322781824887
"[20, 140]",1.18,3.36%,-19.84%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.17,0.33624773124097107,1.2229322781824887
"[20, 70]",1.15,2.89%,-17.82%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.16,0.3050206649106824,1.2229322781824887
"[120, 190]",1.17,3.25%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.16,0.3177189919598139,1.2229322781824887
"[80, 90]",1.18,3.41%,-21.78%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.16,0.3400940902301122,1.2229322781824887
"[90, 100]",1.18,3.36%,-21.63%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.16,0.33623301778459225,1.2229322781824887
"[70, 100]",1.19,3.52%,-21.37%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.16,0.3486456678226943,1.2229322781824887
"[80, 110]",1.18,3.34%,-21.49%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.16,0.3339881750213532,1.2229322781824887
"[40, 100]",1.17,3.24%,-19.94%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.16,0.32848302122117257,1.2229322781824887
"[60, 130]",1.17,3.27%,-22.09%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.15,0.32739589649091877,1.2229322781824887
"[20, 120]",1.17,3.2%,-21.45%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.15,0.32693639346856646,1.2229322781824887
"[60, 120]",1.18,3.45%,-22.33%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.15,0.3419719767685477,1.2229322781824887
"[130, 180]",1.16,3.06%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.15,0.30298774682806484,1.2229322781824887
"[140, 170]",1.16,3.08%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.15,0.3044085375233201,1.2229322781824887
"[150, 160]",1.16,3.08%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.15,0.3044085375233201,1.2229322781824887
"[40, 60]",1.16,2.94%,-19.01%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.15,0.30815105624896355,1.2229322781824887
"[130, 190]",1.16,3.08%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.15,0.3044085375233201,1.2229322781824887
"[70, 110]",1.17,3.27%,-22.67%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.14,0.3279023648583066,1.2229322781824887
"[140, 180]",1.16,2.98%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.14,0.29656253593670817,1.2229322781824887
"[70, 90]",1.16,3.04%,-22.14%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.14,0.3094144819544575,1.2229322781824887
"[140, 190]",1.15,2.84%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.14,0.28632873035062323,1.2229322781824887
"[80, 100]",1.16,3.08%,-22.65%,2020-08-06 00:00:00,2021-06-29 00:00:00,0.14,0.3128986389284815,1.2229322781824887
"[70, 80]",1.15,2.91%,-21.40%,2020-08-06 00:00:00,2021-09-10 00:00:00,0.14,0.29962040716068783,1.2229322781824887
"[150, 180]",1.15,2.84%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.14,0.28632873035062323,1.2229322781824887
"[150, 190]",1.15,2.86%,-20.84%,2020-08-06 00:00:00,2021-03-30 00:00:00,0.14,0.28754727908585975,1.2229322781824887
