,date,close,pre_close,signal,pos,start_time,stock_num,cash,stock_value,net_value,equity_change,equity_curve,equity_curve_base
0,2016-09-12,1324.6,,0.0,0.0,,,,,,0.0,1.0,
1,2016-09-13,1323.65,1324.6,0.0,0.0,,,,,,0.0,1.0,0.9992828023554282
2,2016-09-14,1321.75,1323.65,0.0,0.0,,,,,,0.0,1.0,0.9978484070662843
3,2016-09-15,1310.8,1321.75,0.0,0.0,,,,,,0.0,1.0,0.9895817605314813
4,2016-09-16,1308.35,1310.8,0.0,0.0,,,,,,0.0,1.0,0.9877321455533747
5,2016-09-19,1314.85,1308.35,0.0,0.0,,,,,,0.0,1.0,0.9926392873320249
6,2016-09-20,1313.8,1314.85,0.0,0.0,,,,,,0.0,1.0,0.9918465951985507
7,2016-09-21,1326.1,1313.8,0.0,0.0,,,,,,0.0,1.0,1.0011324173335348
8,2016-09-22,1339.1,1326.1,0.0,0.0,,,,,,0.0,1.0,1.010946700890835
9,2016-09-23,1338.65,1339.1,0.0,0.0,,,,,,0.0,1.0,1.0106069756907747
10,2016-09-26,1340.5,1338.65,0.0,0.0,,,,,,0.0,1.0,1.0120036237354673
11,2016-09-27,1327.0,1340.5,0.0,0.0,,,,,,0.0,1.0,1.0018118677336554
12,2016-09-28,1322.5,1327.0,0.0,0.0,,,,,,0.0,1.0,0.9984146157330513
13,2016-09-29,1318.1,1322.5,0.0,0.0,,,,,,0.0,1.0,0.9950928582213496
14,2016-09-30,1322.5,1318.1,0.0,0.0,,,,,,0.0,1.0,0.9984146157330513
15,2016-10-03,1313.3,1322.5,0.0,0.0,,,,,,0.0,1.0,0.9914691227540389
16,2016-10-04,1283.3,1313.3,0.0,0.0,,,,,,0.0,1.0,0.9688207760833458
17,2016-10-05,1269.4,1283.3,0.0,0.0,,,,,,0.0,1.0,0.9583270421259248
18,2016-10-06,1254.5,1269.4,0.0,0.0,,,,,,0.0,1.0,0.9470783632794805
19,2016-10-07,1258.75,1254.5,0.0,0.0,,,,,,0.0,1.0,0.9502868790578286
20,2016-10-10,1259.5,1258.75,0.0,0.0,,,,,,0.0,1.0,0.9508530877245959
21,2016-10-11,1253.45,1259.5,0.0,0.0,,,,,,0.0,1.0,0.9462856711460061
22,2016-10-12,1256.5,1253.45,0.0,0.0,,,,,,0.0,1.0,0.9485882530575266
23,2016-10-13,1261.05,1256.5,0.0,0.0,,,,,,0.0,1.0,0.9520232523025818
24,2016-10-14,1251.75,1261.05,0.0,0.0,,,,,,0.0,1.0,0.945002264834667
25,2016-10-17,1254.8,1251.75,0.0,0.0,,,,,,0.0,1.0,0.9473048467461875
