parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[9, 3, 2]",100.03,151.2%,-45.82%,2019-06-27 00:00:00,2019-10-25 00:00:00,3.3,1.5300377394502958,74.58970481782359
"[13, 3, 2]",67.91,132.48%,-43.43%,2017-12-16 00:00:00,2019-02-08 00:00:00,3.05,1.5013949182569177,74.58970481782359
"[4, 3, 2]",74.63,136.91%,-50.92%,2021-03-14 00:00:00,2021-07-23 00:00:00,2.69,1.4619169168489827,74.58970481782359
"[12, 3, 2]",96.91,149.62%,-55.58%,2021-02-22 00:00:00,2021-07-21 00:00:00,2.69,1.4289151708939132,74.58970481782359
"[11, 3, 2]",139.86,168.62%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.6,1.474860948076745,74.58970481782359
"[13, 4, 2]",44.48,113.61%,-47.08%,2017-12-16 00:00:00,2019-02-15 00:00:00,2.41,1.338974994354321,74.58970481782359
"[10, 6, 2]",101.28,151.83%,-65.10%,2017-11-04 00:00:00,2018-02-05 00:00:00,2.33,1.489981066958453,74.58970481782359
"[12, 4, 2]",71.69,135.01%,-59.54%,2021-02-22 00:00:00,2021-07-21 00:00:00,2.27,1.4120356298283108,74.58970481782359
"[10, 4, 2]",91.52,146.78%,-67.91%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.16,1.4205016116855778,74.58970481782359
"[14, 3, 2]",53.87,121.96%,-56.40%,2019-08-09 00:00:00,2020-03-13 00:00:00,2.16,1.318166906115484,74.58970481782359
"[14, 5, 2]",44.72,113.85%,-54.74%,2019-08-09 00:00:00,2020-03-13 00:00:00,2.08,1.2671341657641861,74.58970481782359
"[11, 6, 2]",58.31,125.5%,-61.34%,2017-12-16 00:00:00,2019-02-15 00:00:00,2.05,1.379115990736721,74.58970481782359
"[14, 4, 2]",46.48,115.5%,-57.59%,2017-12-16 00:00:00,2019-02-08 00:00:00,2.01,1.2677162651749825,74.58970481782359
"[11, 5, 2]",83.58,142.34%,-71.95%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.98,1.4006545017647312,74.58970481782359
"[11, 4, 2]",67.71,132.34%,-67.69%,2017-12-16 00:00:00,2019-02-15 00:00:00,1.96,1.314114120844369,74.58970481782359
"[5, 4, 2]",45.44,114.53%,-60.40%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.9,1.2446806409961673,74.58970481782359
"[10, 5, 2]",65.81,131.03%,-69.71%,2017-12-16 00:00:00,2019-02-15 00:00:00,1.88,1.361394256927057,74.58970481782359
"[8, 3, 2]",38.15,107.16%,-59.20%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.81,1.284445892604942,74.58970481782359
"[10, 7, 2]",47.69,116.62%,-65.10%,2017-11-04 00:00:00,2018-02-05 00:00:00,1.79,1.3116780122028293,74.58970481782359
"[5, 3, 2]",32.62,100.76%,-56.20%,2017-12-16 00:00:00,2019-03-05 00:00:00,1.79,1.2504560615484377,74.58970481782359
"[9, 4, 2]",44.25,113.39%,-64.62%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.75,1.3095227064887565,74.58970481782359
"[8, 5, 2]",36.6,105.44%,-60.64%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.74,1.2189282834737802,74.58970481782359
"[10, 3, 2]",43.28,112.45%,-67.09%,2017-12-16 00:00:00,2019-02-08 00:00:00,1.68,1.2190185879278004,74.58970481782359
"[6, 4, 2]",34.68,103.25%,-61.77%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.67,1.2061737156276677,74.58970481782359
"[8, 4, 2]",29.55,96.83%,-61.92%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.56,1.1643287532028601,74.58970481782359
"[13, 12, 2]",32.47,100.58%,-69.25%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.45,1.25914575607841,74.58970481782359
"[7, 5, 2]",18.68,79.58%,-55.70%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.43,1.0954359360191437,74.58970481782359
"[7, 2, 2]",50.61,119.21%,-83.37%,2017-12-16 00:00:00,2018-12-15 00:00:00,1.43,1.2154611787868828,74.58970481782359
"[12, 11, 2]",45.27,114.37%,-80.72%,2017-12-16 00:00:00,2018-12-15 00:00:00,1.42,1.2717271412768496,74.58970481782359
"[7, 4, 2]",20.2,82.42%,-59.61%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.38,1.106618263894357,74.58970481782359
"[13, 11, 2]",26.47,92.55%,-69.25%,2017-12-16 00:00:00,2018-02-05 00:00:00,1.34,1.2052156798941729,74.58970481782359
