,date,close,pre_close,signal,pos,start_time,stock_num,cash,stock_value,net_value,equity_change,equity_curve,equity_curve_base
0,2016-09-11,621.65,,0.0,0.0,,,,,,0.0,1.0,
1,2016-09-12,609.67,621.65,0.0,0.0,,,,,,0.0,1.0,0.980728705863428
2,2016-09-13,610.92,609.67,0.0,0.0,,,,,,0.0,1.0,0.982739483632269
3,2016-09-14,608.82,610.92,0.0,0.0,,,,,,0.0,1.0,0.9793613769806163
4,2016-09-15,610.38,608.82,0.0,0.0,,,,,,0.0,1.0,0.9818708276361299
5,2016-09-16,609.11,610.38,0.0,0.0,,,,,,0.0,1.0,0.9798278774229875
6,2016-09-17,607.04,609.11,0.0,0.0,,,,,,0.0,1.0,0.9764980294377867
7,2016-09-18,611.58,607.04,0.0,0.0,,,,,,0.0,1.0,0.9838011742942174
8,2016-09-19,610.19,611.58,0.0,0.0,,,,,,0.0,1.0,0.9815651894152663
9,2016-09-20,608.66,610.19,0.0,0.0,,,,,,0.0,1.0,0.9791039974262048
10,2016-09-21,598.88,608.66,0.0,0.0,,,,,,0.0,1.0,0.963371672162793
11,2016-09-22,597.42,598.88,0.0,0.0,,,,,,0.0,1.0,0.9610230837287866
12,2016-09-23,594.08,597.42,0.0,0.0,,,,,,0.0,1.0,0.9556502855304436
13,2016-09-24,603.88,594.08,0.0,0.0,,,,,,0.0,1.0,0.9714147832381569
14,2016-09-25,601.74,603.88,0.0,0.0,,,,,,0.0,1.0,0.9679723316979012
15,2016-09-26,598.98,601.74,0.0,0.0,,,,,,0.0,1.0,0.9635325343843003
16,2016-09-27,605.96,598.98,0.0,0.0,,,,,,0.0,1.0,0.9747607174455084
17,2016-09-28,605.67,605.96,0.0,0.0,,,,,,0.0,1.0,0.9742942170031372
18,2016-09-29,603.85,605.67,0.0,0.0,,,,,,0.0,1.0,0.9713665245717049
19,2016-09-30,609.39,603.85,0.0,0.0,,,,,,0.0,1.0,0.9802782916432081
20,2016-10-01,614.82,609.39,0.0,0.0,,,,,,0.0,1.0,0.9890131102710535
21,2016-10-02,612.98,614.82,0.0,0.0,,,,,,0.0,1.0,0.9860532453953196
22,2016-10-03,611.85,612.98,0.0,0.0,,,,,,0.0,1.0,0.9842355022922873
23,2016-10-04,609.62,611.85,1.0,0.0,,,,,,0.0,1.0,0.980648274752675
24,2016-10-05,607.18,609.62,1.0,1.0,2016-10-05,1.6370853974607131,0.004000000000019099,994.0055116301958,994.0095116301958,-0.005990488369804203,0.9940095116301958,0.9767232365478973
