,date,close,pre_close,signal,pos,start_time,stock_num,cash,stock_value,net_value,equity_change,equity_curve,equity_curve_base
0,2016/9/12,1324.6,,0,0,,,,,,0,1,
1,2016/9/13,1323.65,1324.6,0,0,,,,,,0,1,0.999282802
2,2016/9/14,1321.75,1323.65,0,0,,,,,,0,1,0.997848407
3,2016/9/15,1310.8,1321.75,0,0,,,,,,0,1,0.989581761
4,2016/9/16,1308.35,1310.8,0,0,,,,,,0,1,0.987732146
5,2016/9/19,1314.85,1308.35,0,0,,,,,,0,1,0.992639287
6,2016/9/20,1313.8,1314.85,0,0,,,,,,0,1,0.991846595
7,2016/9/21,1326.1,1313.8,0,0,,,,,,0,1,1.001132417
8,2016/9/22,1339.1,1326.1,0,0,,999.9,,,,0,1,1.010946701
9,2016/9/23,1338.65,1339.1,0,0,,,,,,0,1,1.010606976
10,2016/9/26,1340.5,1338.65,0,0,,,,,,0,1,1.012003624
11,2016/9/27,1327,1340.5,0,0,,,,,,0,1,1.001811868
12,2016/9/28,1322.5,1327,1,0,,,,,,0,1,0.998414616
13,2016/9/29,1318.1,1322.5,1,1,2016/9/29,0.748582231,0.1,986.7062382,986.8062382,-0.013193762,0.986806238,0.995092858
14,2016/9/30,1322.5,1318.1,1,1,2016/9/29,,0.1,990,990.1,0.0033378,0.9901,0.998414616
15,2016/10/3,1313.3,1322.5,1,1,2016/9/29,,0.1,983.1130435,983.2130435,-0.006955819,0.983213043,0.991469123
16,2016/10/4,1283.3,1313.3,1,1,2016/9/29,,0.1,960.6555766,960.7555766,-0.022840896,0.960755577,0.968820776
17,2016/10/5,1269.4,1283.3,0,1,2016/9/29,0.748582231,940.8477807,0,940.8477807,-0.020720979,0.940847781,0.958327042
18,2016/10/6,1254.5,1269.4,0,0,,,,,,0,0.940847781,0.947078363
19,2016/10/7,1258.75,1254.5,0,0,,,,,,0,0.940847781,0.950286879
20,2016/10/10,1259.5,1258.75,0,0,,,,,,0,0.940847781,0.950853088
21,2016/10/11,1253.45,1259.5,0,0,,,,,,0,0.940847781,0.946285671
22,2016/10/12,1256.5,1253.45,0,0,,,,,,0,0.940847781,0.948588253
23,2016/10/13,1261.05,1256.5,0,0,,,,,,0,0.940847781,0.952023252
24,2016/10/14,1251.75,1261.05,0,0,,,,,,0,0.940847781,0.945002265
25,2016/10/17,1254.8,1251.75,0,0,,,,,,0,0.940847781,0.947304847
26,2016/10/18,1258.2,1254.8,0,0,,,,,,0,0.940847781,0.949871659
27,2016/10/19,1269.05,1258.2,0,0,,,,,,0,0.940847781,0.958062811
28,2016/10/20,1271.65,1269.05,0,0,,,,,,0,0.940847781,0.960025668
29,2016/10/21,1266.05,1271.65,0,0,,,,,,0,0.940847781,0.955797977
