parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[10, 30]",102.66,152.51%,-54.12%,2017-12-16 00:00:00,2019-01-14 00:00:00,2.82,1.5510106483493271,74.58970481782359
"[10, 40]",137.34,167.65%,-60.51%,2017-12-16 00:00:00,2019-01-14 00:00:00,2.77,1.611385607313553,74.58970481782359
"[20, 70]",115.53,158.55%,-64.05%,2017-12-16 00:00:00,2018-08-11 00:00:00,2.48,1.5213859775756744,74.58970481782359
"[10, 90]",115.2,158.4%,-65.48%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.42,1.4963852938793074,74.58970481782359
"[10, 70]",94.44,148.33%,-63.27%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.34,1.470726837048627,74.58970481782359
"[20, 30]",62.31,128.51%,-55.22%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.33,1.3991360999948932,74.58970481782359
"[10, 20]",96.7,149.51%,-65.77%,2017-12-16 00:00:00,2019-02-15 00:00:00,2.27,1.5506585813383502,74.58970481782359
"[100, 130]",86.55,144.04%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.22,1.351649801844902,74.58970481782359
"[100, 120]",86.75,144.15%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.22,1.3524881263778312,74.58970481782359
"[40, 110]",84.48,142.86%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.2,1.366293963290631,74.58970481782359
"[40, 130]",90.36,146.15%,-67.10%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.18,1.3753092776268956,74.58970481782359
"[30, 110]",81.85,141.32%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.18,1.3639294791440633,74.58970481782359
"[100, 190]",86.89,144.23%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,2.18,1.3658570384637576,74.58970481782359
"[40, 120]",88.37,145.05%,-66.87%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.17,1.3717198594273317,74.58970481782359
"[10, 120]",76.94,138.36%,-63.78%,2017-12-16 00:00:00,2019-03-14 00:00:00,2.17,1.3669198364768527,74.58970481782359
"[40, 100]",79.04,139.64%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.15,1.3521143662029016,74.58970481782359
"[30, 120]",78.6,139.38%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.15,1.3543506109927526,74.58970481782359
"[60, 100]",78.06,139.05%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.14,1.3405943225322172,74.58970481782359
