parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,base_return
6,4.61,35.75%,-77.43%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.46,74.58970481782359
84,1.84,13.02%,-44.45%,2016-09-11 00:00:00,2019-12-18 00:00:00,0.29,74.58970481782359
98,2.28,17.89%,-60.70%,2018-07-25 00:00:00,2018-12-15 00:00:00,0.29,74.58970481782359
92,2.18,16.83%,-60.70%,2018-07-25 00:00:00,2018-12-15 00:00:00,0.28,74.58970481782359
94,2.21,17.17%,-60.70%,2018-07-25 00:00:00,2018-12-15 00:00:00,0.28,74.58970481782359
82,1.77,12.09%,-44.45%,2016-09-11 00:00:00,2019-12-18 00:00:00,0.27,74.58970481782359
96,2.16,16.62%,-60.70%,2018-07-25 00:00:00,2018-12-15 00:00:00,0.27,74.58970481782359
12,2.3,18.13%,-70.86%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.26,74.58970481782359
90,2.11,16.09%,-60.70%,2018-07-25 00:00:00,2018-12-15 00:00:00,0.26,74.58970481782359
88,2.08,15.81%,-60.70%,2018-07-25 00:00:00,2018-12-15 00:00:00,0.26,74.58970481782359
86,1.98,14.67%,-60.70%,2018-07-25 00:00:00,2018-12-15 00:00:00,0.24,74.58970481782359
80,1.66,10.68%,-44.45%,2016-09-11 00:00:00,2019-12-18 00:00:00,0.24,74.58970481782359
8,2.11,16.07%,-73.23%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.22,74.58970481782359
32,2.1,15.96%,-71.12%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.22,74.58970481782359
36,1.91,13.8%,-67.72%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.2,74.58970481782359
62,1.79,12.32%,-62.91%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.2,74.58970481782359
34,1.78,12.22%,-70.52%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.17,74.58970481782359
60,1.62,10.15%,-62.91%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.16,74.58970481782359
10,1.7,11.18%,-76.25%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.15,74.58970481782359
14,1.69,11.04%,-76.41%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.14,74.58970481782359
16,1.54,9.07%,-72.35%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.13,74.58970481782359
30,1.52,8.72%,-71.70%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.12,74.58970481782359
40,1.54,8.96%,-75.36%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.12,74.58970481782359
26,1.4,6.97%,-67.13%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.1,74.58970481782359
18,1.44,7.5%,-75.99%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.1,74.58970481782359
38,1.46,7.81%,-75.36%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.1,74.58970481782359
78,1.39,6.79%,-72.23%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.09,74.58970481782359
28,1.26,4.77%,-74.76%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.06,74.58970481782359
76,1.23,4.27%,-72.23%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.06,74.58970481782359
64,1.21,3.91%,-62.91%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.06,74.58970481782359
66,1.21,3.91%,-62.91%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.06,74.58970481782359
72,1.24,4.4%,-72.23%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.06,74.58970481782359
74,1.24,4.4%,-72.23%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.06,74.58970481782359
68,1.11,2.19%,-72.23%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.03,74.58970481782359
70,1.12,2.32%,-72.23%,2018-03-05 00:00:00,2019-12-18 00:00:00,0.03,74.58970481782359
52,1.06,1.08%,-72.49%,2018-03-05 00:00:00,2020-03-13 00:00:00,0.01,74.58970481782359
50,1.03,0.66%,-72.49%,2018-03-05 00:00:00,2020-03-13 00:00:00,0.01,74.58970481782359
20,1.05,0.94%,-79.97%,2018-01-20 00:00:00,2020-03-13 00:00:00,0.01,74.58970481782359
58,0.97,-0.68%,-69.81%,2018-03-05 00:00:00,2020-03-13 00:00:00,-0.01,74.58970481782359
24,0.95,-1.09%,-73.31%,2018-01-20 00:00:00,2020-03-13 00:00:00,-0.01,74.58970481782359
22,0.98,-0.47%,-75.58%,2018-01-20 00:00:00,2020-03-13 00:00:00,-0.01,74.58970481782359
56,0.82,-3.8%,-72.09%,2018-03-05 00:00:00,2020-03-13 00:00:00,-0.05,74.58970481782359
54,0.8,-4.42%,-72.43%,2018-03-05 00:00:00,2020-03-13 00:00:00,-0.06,74.58970481782359
48,0.74,-5.85%,-75.31%,2018-03-05 00:00:00,2020-03-13 00:00:00,-0.08,74.58970481782359
42,0.72,-6.44%,-74.85%,2018-01-20 00:00:00,2020-03-13 00:00:00,-0.09,74.58970481782359
46,0.64,-8.46%,-76.53%,2018-03-05 00:00:00,2020-03-13 00:00:00,-0.11,74.58970481782359
44,0.58,-10.26%,-80.09%,2018-01-20 00:00:00,2020-03-13 00:00:00,-0.13,74.58970481782359
